id,adult,genre_ids,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
1096342,False,"['Romance', 'Comedy', 'Drama']",en,Beautiful Wedding,71.714,Beautiful Wedding,4.743,109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1487,False,"['Fantasy', 'Action']",en,Hellboy,89.652,Hellboy,6.668,6696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458423,False,"['Comedy', 'Romance']",en,Mamma Mia! Here We Go Again,53.609,Mamma Mia! Here We Go Again,7.118,3263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257750,False,"['Romance', 'Comedy']",ar,شهر زي العسل,80.504,Honeymoonish,6.75,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729854,False,"['Thriller', 'Science Fiction', 'Drama']",ko,콘크리트 유토피아,55.15,Concrete Utopia,7.039,165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14533,False,"['Romance', 'Drama']",en,Gia,62.595,Gia,7.106,713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610150,False,"['Animation', 'Science Fiction', 'Action']",ja,ドラゴンボール超 スーパーヒーロー,61.507,Dragon Ball Super: Super Hero,7.908,2767,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10585,False,['Horror'],en,Child's Play,61.335,Child's Play,6.704,2861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4951,False,"['Comedy', 'Romance', 'Drama']",en,10 Things I Hate About You,71.331,10 Things I Hate About You,7.591,7886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391713,False,"['Drama', 'Comedy']",en,Lady Bird,52.835,Lady Bird,7.266,8288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39108,False,"['Animation', 'Action', 'Science Fiction']",ja,ドラゴンボールZ 龍拳爆発!!悟空がやらねば誰がやる,78.32,Dragon Ball Z: Wrath of the Dragon,7.263,690,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982940,False,"['Action', 'Thriller', 'Crime']",en,Due Justice,78.509,Due Justice,6.3,62,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1214314,False,['Action'],en,One More Shot,53.165,One More Shot,6.51,206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123338,False,"['Comedy', 'Romance', 'Drama']",cn,玉蒲團III官人我要,71.576,Sex and Zen III,6.5,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14926,False,"['Comedy', 'Drama']",en,Uptown Girls,63.066,Uptown Girls,6.8,823,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87502,False,['Drama'],en,Flight,73.813,Flight,6.84,5850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16859,False,"['Animation', 'Family', 'Fantasy']",ja,魔女の宅急便,60.56,Kiki's Delivery Service,7.826,3926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053592,False,"['Drama', 'Action', 'Thriller']",es,Todos los nombres de Dios,73.365,All the Names of God,6.466,102,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
879689,False,"['Drama', 'Thriller', 'Horror', 'Comedy', 'Mystery']",en,Raging Grace,45.983,Raging Grace,5.375,20,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1022128,False,['Horror'],en,Don't Look at the Demon,61.545,Don't Look at the Demon,7.051,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343611,False,"['Action', 'Thriller']",en,Jack Reacher: Never Go Back,59.549,Jack Reacher: Never Go Back,5.983,4754,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270880,False,['Comedy'],en,Katt Williams: Woke Foke,68.521,Katt Williams: Woke Foke,5.813,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273481,False,"['Action', 'Crime', 'Thriller']",en,Sicario,63.298,Sicario,7.399,8350,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12429,False,"['Animation', 'Fantasy', 'Family']",ja,崖の上のポニョ,61.79,Ponyo,7.74,4166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,False,"['Drama', 'Thriller', 'Mystery']",en,Eyes Wide Shut,70.289,Eyes Wide Shut,7.479,5993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
566810,False,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",en,Dragon Kingdom,61.306,The Dark Kingdom,5.839,59,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,False,"['Adventure', 'Action']",en,Raiders of the Lost Ark,69.026,Raiders of the Lost Ark,7.928,12158,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,False,"['Adventure', 'Animation', 'Comedy', 'Family']",en,TMNT,72.027,TMNT,6.142,1066,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265208,False,"['Thriller', 'Crime', 'Action']",en,Wild Card,88.88,Wild Card,5.7,1731,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
