,genre_ids
200,"['Science Fiction', 'Thriller', 'Horror']"
201,"['Family', 'Animation', 'Music', 'Adventure']"
202,"['Science Fiction', 'Action', 'Adventure']"
203,"['Horror', 'Thriller']"
204,['Comedy']
205,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
206,"['Action', 'Drama']"
207,"['Fantasy', 'Comedy', 'Adventure', 'Science Fiction']"
208,"['Family', 'Animation', 'Drama']"
209,"['Drama', 'Romance', 'Thriller']"
210,"['Comedy', 'Romance']"
211,"['Adventure', 'Family', 'Science Fiction']"
212,"['Adventure', 'Action', 'Drama']"
213,"['Action', 'Adventure', 'Family', 'Comedy']"
214,"['Action', 'Fantasy', 'War']"
215,['Drama']
216,"['Action', 'Crime', 'Drama']"
217,"['Action', 'Comedy', 'War', 'Drama']"
218,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
219,"['Thriller', 'Action', 'Crime']"
220,"['Action', 'Fantasy', 'Mystery', 'Adventure', 'Thriller']"
221,"['Thriller', 'Action', 'Crime']"
222,"['Action', 'Mystery', 'Thriller']"
223,"['Action', 'Thriller', 'Horror']"
224,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
225,"['Action', 'Adventure', 'Fantasy']"
226,['Drama']
227,"['War', 'Action']"
228,"['Thriller', 'Science Fiction', 'Horror']"
229,"['Romance', 'Comedy']"
230,['Comedy']
231,"['Drama', 'Action', 'Adventure']"
232,"['Action', 'Adventure', 'Drama', 'Family']"
233,"['Action', 'Science Fiction', 'Adventure']"
234,"['Comedy', 'Romance']"
235,"['Action', 'Adventure', 'Science Fiction']"
236,"['Romance', 'Drama']"
237,"['Action', 'Thriller', 'War']"
238,"['Romance', 'Drama']"
239,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']"
240,"['Action', 'Fantasy', 'Mystery', 'Adventure', 'Thriller']"
241,"['Drama', 'Action', 'Adventure']"
242,"['Crime', 'Mystery', 'Thriller']"
243,"['Action', 'Thriller', 'Drama']"
244,"['Animation', 'Comedy', 'Family']"
245,"['Horror', 'Crime', 'Thriller']"
246,"['Adventure', 'Science Fiction', 'Action']"
247,"['Action', 'Adventure', 'Science Fiction', 'Fantasy', 'Drama']"
248,"['Adventure', 'Fantasy', 'Action']"
249,"['Crime', 'Drama']"
250,"['Comedy', 'Horror']"
251,"['Science Fiction', 'Adventure', 'Action']"
252,"['Drama', 'Crime']"
253,"['Adventure', 'Fantasy']"
254,"['Family', 'Comedy', 'Animation']"
255,"['Action', 'Adventure', 'Science Fiction']"
256,"['Drama', 'Science Fiction', 'War']"
257,"['Thriller', 'Science Fiction', 'Horror']"
258,"['Comedy', 'Horror', 'Music']"
259,['Science Fiction']
260,"['Adventure', 'Family', 'Fantasy', 'Romance']"
261,['Drama']
262,['Drama']
263,"['Adventure', 'Fantasy']"
264,"['Crime', 'Mystery', 'Thriller']"
265,"['Action', 'Crime', 'Drama']"
266,"['Animation', 'Comedy', 'Family']"
267,"['Romance', 'Drama']"
268,"['Adventure', 'Action', 'Science Fiction']"
269,"['Animation', 'Family']"
270,"['Animation', 'Family']"
271,"['Horror', 'Thriller']"
272,"['Science Fiction', 'Action', 'Adventure']"
273,"['Drama', 'Romance']"
274,"['Romance', 'Drama']"
275,"['Drama', 'Action', 'Adventure', 'History', 'War']"
276,"['Science Fiction', 'Action', 'Adventure']"
277,['Horror']
278,"['Action', 'Thriller', 'Crime']"
279,"['Adventure', 'Fantasy']"
280,"['Action', 'Adventure', 'Science Fiction']"
281,"['Science Fiction', 'Horror', 'Thriller']"
282,"['Horror', 'Thriller']"
283,"['Action', 'Comedy', 'Romance']"
284,"['Action', 'Comedy']"
285,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
286,"['Thriller', 'Drama', 'Comedy']"
287,"['Romance', 'Drama']"
288,"['Adventure', 'Fantasy']"
289,"['Thriller', 'Action', 'Science Fiction']"
290,"['Adventure', 'Fantasy', 'Action']"
291,"['Action', 'Animation', 'Adventure', 'Fantasy', 'Thriller']"
292,"['War', 'Drama', 'Action']"
293,['Horror']
294,"['Action', 'Comedy', 'Adventure']"
295,['Documentary']
296,"['Action', 'Adventure', 'Science Fiction']"
297,"['Fantasy', 'Action', 'Adventure']"
298,"['Drama', 'Science Fiction', 'Action']"
299,"['Animation', 'Action', 'Drama']"
300,"['Animation', 'Comedy', 'Family', 'Adventure']"
301,"['Romance', 'Drama']"
302,"['Action', 'Adventure', 'Science Fiction']"
303,"['Crime', 'History', 'Drama']"
304,"['Adventure', 'Action', 'Fantasy']"
305,['Comedy']
306,"['Comedy', 'Fantasy']"
307,['Horror']
308,['Drama']
309,"['Romance', 'Drama']"
310,"['Romance', 'Drama']"
311,"['Animation', 'Comedy', 'Adventure', 'Action']"
312,"['Science Fiction', 'Thriller']"
313,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']"
314,"['Drama', 'Crime', 'Thriller']"
315,"['Animation', 'Romance', 'Drama']"
316,"['Western', 'Drama', 'Adventure']"
317,"['Animation', 'Comedy', 'Family', 'Fantasy']"
318,"['Action', 'Mystery', 'Thriller']"
319,"['Action', 'Thriller', 'Crime']"
320,"['Romance', 'Drama']"
321,"['Animation', 'Comedy', 'Family']"
322,"['Animation', 'Comedy', 'Family', 'Adventure']"
323,"['Action', 'Adventure', 'Science Fiction']"
324,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']"
325,"['Action', 'Science Fiction', 'Adventure']"
326,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
327,"['Animation', 'Romance', 'Drama']"
328,"['Thriller', 'Crime']"
329,"['Western', 'Drama', 'Adventure']"
330,"['Action', 'Mystery', 'Thriller']"
331,"['Action', 'Thriller', 'Crime']"
332,"['Adventure', 'Action', 'Fantasy']"
333,"['Action', 'Adventure', 'Science Fiction']"
334,"['War', 'Action', 'History']"
335,"['Family', 'Fantasy', 'Animation', 'Romance']"
