,adult,genre_ids,id,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
8039,False,['Drama'],20502,es,Yo puta,28.238,The Life,4.7,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8040,False,"['Crime', 'Thriller']",996,en,Double Indemnity,25.838,Double Indemnity,8.125,1742,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8041,False,['Drama'],20502,es,Yo puta,28.238,The Life,4.7,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8042,False,"['Animation', 'Romance', 'Drama']",579741,ja,サイダーのように言葉が湧き上がる,27.604,Words Bubble Up Like Soda Pop,7.346,272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8043,False,"['Animation', 'Adventure', 'Comedy', 'Family']",17963,en,Gone Nutty,25.087,Gone Nutty,6.916,184,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8044,False,"['Science Fiction', 'Thriller']",10559,en,Frequency,35.799,Frequency,7.241,1724,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8045,False,"['Drama', 'Romance']",10362,en,Two Lovers,29.588,Two Lovers,6.835,831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8046,False,"['Comedy', 'Drama']",735726,fr,Tout s’est bien passé,25.353,Everything Went Fine,6.7,147,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8047,False,"['Comedy', 'Family']",11862,en,Father of the Bride Part II,26.585,Father of the Bride Part II,6.237,716,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8048,False,"['Comedy', 'Crime', 'Drama']",9085,en,Harlem Nights,25.335,Harlem Nights,6.055,299,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
